UNIPROT_ID,PMID
Q00653,"['8360178', '8453667', '7925301', '8152812', '9315679', '10597218', '8887665', '11239468', '1760839', '7949142', '7541912', '11526476', '14676825', '16477006', '18669648', '20068231', '21269460', '23186163', '24275569', '9384586', '24140114', '25524009']"
P05177,"['3517618', '9435160', '10681376', '11555828', '12865317', '14725854', '19965576', '21068195', '21576599', '24275569', '26988023', '17311915', '9884316', '11295848', '14563787', '15469410', '15770072', '15643613', '16522833']"
P14616,"['17344846', '21641549']"
Q9Y5Y4,"['11535533', '11168006', '11208866', '12466225', '17196174', '17207480', '20035740']"
Q96BR1,"['12054501', '12590200', '12397388', '12650886', '12911626', '12634932', '12632189', '15044175', '14706641', '15319523', '14604990', '15040001', '15496163', '15845389', '15737648', '16036218', '17167223', '16888620', '16790420', '18005662', '19293151', '20511718', '21865597', '21084382', '16460280', '20919962', '16959974', '17344846']"
P00533,"['3138233', '15340161', '2985580', '16543144', '9556602', '6325948', '3039909', '2790960', '2543678', '7679104', '8650580', '9852145', '10523301', '8144591', '7657591', '8962717', '9419975', '9488479', '10228163', '10026169', '10731668', '11602604', '12731890', '12873986', '15282549', '10805725', '11116146', '11483589', '15590694', '15611079', '16083266', '16140940', '17081983', '17115032', '16420529', '17909029', '17671655', '17182860', '17334392', '18602463', '19172738', '18220336', '18691976', '18669648', '19413330', '19836242', '19509291', '19159218', '19369195', '19749156', '19718021', '20674546', '20551055', '20462955', '20068231', '21269460', '21487020', '21258366', '21516087', '21518868', '22298428', '22179831', '23418353', '23186163', '24275569', '25187647', '23589287', '25311788', '23912460', '25922362', '27153536', '26988023', '28479384', '12297049', '12297050', '12620237', '15374980', '15837620', '15840573', '17349580', '18046415', '18227510', '19563760', '19560417', '20471394', '20837704', '22888118', '15623594', '15118125', '16533793', '16205628', '16672372', '17344846', '24691054', '', '']"
P21918,"['10531415', '11781417', '7633397', '10391209']"
Q13523,"['11991638', '15592455', '17081983', '18669648', '19413330', '19690332', '19608861', '20068231', '21269460', '21406692', '22223895', '22814378', '23186163', '24275569', '25218447', '25114211', '25755297', '28112733', '16959974', '17344846']"
Q8N695,"['15001644', '15361710', '15867356', '17178845', '16805814', '16729224', '18037591', '17245649']"
P23975,"['11343649', '10684912']"
P33260,"['8095407', '11093772', '16963442']"
Q9BRS2,"['18669648', '19413330', '19690332', '20068231', '21269460', '21081503', '21406692', '22072790', '23186163', '24948609']"
P42345,"['9434772', '11853878', '12150925', '12150926', '12231510', '12087098', '12408816', '11930000', '14651849', '12718876', '15268862', '15545625', '14578359', '15467718', '15905173', '15718470', '17599906', '17386266', '18925875', '18762023', '18691976', '18669648', '18497260', '19446321', '19487463', '19369195', '19608861', '19145465', '20381137', '20537536', '20810650', '20801936', '20427287', '20516213', '20068231', '21269460', '21576368', '21406692', '21659604', '22576015', '22343943', '22692423', '23027611', '22814378', '25657994', '24247430', '23186163', '23762398', '23429704', '23429703', '24275569', '25851998', '26018084', '26542245', '25799227', '25561175', '25878179', '25944712', '25567906', '26812014', '27623384', '27830187', '29750193', '30956113', '30704899', '31036939', '32647003', '8662507', '10089303', '20060908', '20542007', '23636326', '17344846', '21248752']"
P00748,"['3886654', '6604055', '1544894', '14760718', '16335952', '2882793', '21304106', '24275569', '23385745', '2510163', '8049433', '9354665', '10361128', '11776307', '15205584', '15617741', '16638441', '17186468']"
P20815,"['10681376', '11093772', '11726664', '12865317', '24275569', '8619878', '11502729', '12893984', '15469410']"
P02671,"['518846', '741445', '518845', '632262', '16335952', '936108', '6383194', '2877981', '6318767', '11418620', '16807684', '18088087', '19696023', '19159218', '2143188', '21269460', '23050552', '24348255', '23151259', '24275569', '26091039', '1560020', '9333233', '9628725', '9689040', '10074346', '19296670', '2070049', '1634621', '1675636', '8473507', '8097946', '8461606', '8675656', '10391209', '16846481', '25427968']"
Q15208,"['12493777', '15067004', '15197186', '16884686', '18362890', '17906693', '18669648', '19377461', '19690332', '20068231', '21269460', '23186163', '24336203', '14661952', '17344846']"
P08514,"['3534886', '1953640', '8620874', '3801670', '2476117', '2775232', '7688323', '2226834', '9030514', '10477286', '10212286', '16335952', '18331836', '21388953', '22779914', '22283712', '7878622', '2350579', '8282784', '7508443', '7706461', '8704171', '9215749', '9473221', '9763559', '9834222', '9722314', '9734640', '10391209', '9920835', '10607701', '11798398', '12181054', '12083483', '12424194', '12506038', '15099289', '15219201', '17018384', '20020534', '21454453']"
O76074,"['11723116', '12955149', '25799991']"
P35228,"['7558036', '9721329', '12080081', '12433515', '19688109', '21199876', '25417112', '25180171', '10409685', '10074942', '16959974', '24430113']"
P19838,"['1740106', '8087845', '8152812', '8628291', '8710491', '9315679', '9529257', '10469655', '9950430', '10970863', '11094166', '11327828', '11468175', '11466314', '11297557', '11526476', '13679070', '11739381', '12393603', '12471036', '12871932', '12482991', '14769797', '15169888', '15102766', '15485931', '14743216', '17003112', '18669648', '19690332', '21269460', '23186163', '24275569', '26279205', '28112733', '7830764', '9865693']"
P02763,"['4711474', '4561179', '4603214', '1567356', '12754519', '15253437', '15084671', '14760718', '16335952', '17008009', '16740002', '17321687', '19159218', '19838169', '22171320', '18823996', '9050929']"
Q7Z3S7,['17033974']
O15530,"['9637919', '9768361', '9707564', '9445476', '10455013', '10364160', '10480933', '10995762', '11481331', '12177059', '12167717', '14585963', '14604990', '15210700', '10226025', '15209375', '16207722', '16251192', '15743829', '16314505', '16780920', '17327236', '17371830', '18835241', '18616680', '18802401', '18024423', '19591923', '19276999', '19690332', '22544756', '22347420', '24275569', '12169624', '15741170', '15772071', '20978239', '22999883', '', '', 'ce=""ECO:0007829|PDB:3ORX']"
P18505,"['23934111', '27273810', '26950270']"
Q16659,"['15226418', '18669648', '19369195', '19690332', '21177870', '22645313', '23186163', '17344846']"
Q5S007,"['16081470', '16321986', '16087219', '16269541', '16352719', '16532471', '17120249', '17114044', '20949042', '21850687', '22012985', '22952686', '23395371', '23776530', '24275569', '24687852', '26824392', '26014385', '29125462', '28720718', '29127255', '30398148', '29212815', '30647193', '18230735', '28202711', '30635421', '15541308', '15726496', '15732108', '15852371', '16240353', '15880653', '15929036', '16251215', '16272164', '16333314', '16272257', '15680455', '15680456', '15680457', '15811454', '16001413', '16250030', '16172858', '16157901', '16247070', '16157908', '16157909', '15925109', '16298482', '16102999', '16533964', '17019612', '17344846', '18213618', '21248752', '21641266', '22415848', '22956510', '25201882']"
Q9P289,"['15037601', '17360971', '18691976', '18669648', '19370760', '18782753', '19369195', '19690332', '20332113', '20068231', '21269460', '21406692', '23186163', '24275569', '25944712', '27807006', '20730082', '17344846']"
Q96ER9,"['21269460', '23186163', '24275569', '25944712', '31435016']"
Q9TRC7,"['8144586', '1457410', '10782293']"
P09210,"['8431482', '2604726', '7892174', '20083122', '11668220', '24275569', 'n=glutathion']"
O60285,"['12409306', '14982852', '15060171', '15273717', '16044163', '16424013', '16488889', '18254724', '19369195', '19927127', '20354225', '21317932', '25329316', '17344846']"
P78348,"['10798398', '11802773', '12244121', '12578970', '15247234', '19654327', '23034652', '22760635', '28327374']"
P21397,"['3178846', '2764901', '11812236', '8316221', '8211186', '9799080', '24275569', '16129825', '18391214', '16959974', '21179162', '24169519']"
Q96NX5,['17344846']
Q9Y4K4,"['9788432', '19608861', '23186163', '24275569', '17344846']"
Q07343,"['10846163', '15003452', '15260978', '15576036', '15685167', '17727341', '18539455']"
Q13882,"['8940083', '9185712', '1002/(sici)1097-0215(19970611)71:6<1061::aid-ijc24>3.0.co;2-f', '10980601', '10913193', '12121988', '12833144', '15471878', '15572663', '15509496', '15539407', '15961400', '16179349', '15870689', '16651629', '16568091', '17822667', '17997837', '18829532', '18296648', '18691976', '18719096', '19439179', '20193745', '20026641', '21479203', '15056653', '27480927', '27993680', '17344846']"
O60840,"['27226626', '11281458', '12111638', '12187427', '15897456', '16960802', '16505158', '17525176', '22194652']"
Q9UIK4,"['11230133', '12445458', '11980920', '16756490', '17347302', '18669648', '18957423', '23186163', '24163421', '26047703', '17344846']"
P48736,"['11277933', '11416136', '12163475', '12502714', '15294162', '15135396', '15797027', '16094730', '16123124', '17290298', '18278175', '19147653', '21269460', '21393242', '10580505', '16127437']"
P04275,"['3524673', '12665801', '10961880', '3502076', '3089784', '9218428', '14760718', '19159218', '19139490', '9553097', '9331419', '9312128', '12871266', '2786201', '1673047', '1832934', '1761120', '2010538', '1672694', '2011604', '1906179', '1729889', '1420817', '1419803', '1419804', '1429668', '1409710', '8338947', '8435341', '8348943', '8376405', '8486782', '8123843', '8123844', '8088787', '7989040', '8011991', '7620154', '7734373', '8547152', '7789955', '8622978', '10887119', '11698279', '12406074', '15755288', '16959974', '21592258']"
Q96PD7,"['16214399', '18768481', '27184406', '28420705', '30970241', '26786738']"
P69905,"['13872627', '13954546', '14093912', '12665801', '1428951', '7358733', '12552433', '19608861', '21269460', '24275569', '25944712', '1177322', '7373648', '1512262', '9665850', '8448109', '29109153', '5988206', '5440849', '5091982', '5288820', '5085669', '4667378', '5033650', '4744335', '4521212', '4824923', '1182166', '849454', '20980', '902765', '108887', '486536', '478975', '7435503', '7213661', '7462179', '7410435', '7238857', '7275660', '7068434', '7068437', '6882779', '6188720', '6874376', '6874377', '6714429', '6547117', '6547932', '6725558', '3973024', '3142772', '2599879', '2634665', '2634669', '2108715', '2079432', '1390940', '1390944', '1428941', '8493987', '8237999', '8798486', '5115619', '9322075', '8148419', '6526652', '10206681', '1002/(sici)1098-1004(1998)11:5<412::aid-humu14>3.0.co;2-r', '2101836', '2606724', '2752146', '9494044', '4528583', '1634363', '6815131', '5780195', '3654264', '4212045', '1634355', '8195005', '7558876', '7713747', '8294199', '1115799', '7470621', '9452028', '1802882', '7161109', '478977', '2833478', '2079430', '8745434', '1618774', '7786798', '1634357', '8294200', '1686260', '3754246', '1428950', '1511986', '10569720', '10569723', '14576901', '15495251', '15921163']"
P11245,"['2924904', '17656365', '2068113', '8466518', '7920692']"
O15554,"['10026195', '11425865', '15831468', '17157250', '18796614', '22814378', '24591580', '26178367', '26148990', '26198474', '']"
P28223,"['11150294', '14988405', '18476671', '18703043', '18297054', '19057895', '21645528', '20945968', '22300836', '24637012', '24089568', '28129538', '8655141', '10581480', '1002/(sici)1096-8628(19991215)88:6<621::aid-ajmg9>3.0.co;2-h', '10391209']"
Q01668,"['21280120', '21131953', '22495309', '22542183', '23913001', '25620733', '28472301']"
P27361,"['8325880', '8794306', '9155018', '9480836', '10393181', '10224087', '10521408', '10617468', '10747973', '12356731', '11912194', '15526160', '15952796', '15616583', '12110590', '12974390', '15788397', '17081983', '16581800', '17274988', '18435604', '18296648', '18691976', '18794356', '18669648', '19413330', '19265199', '19494114', '19447520', '19369195', '19060905', '16393692', '19565474', '19690332', '20068231', '21269460', '21779493', '21406692', '22223895', '22814378', '23186163', '24825908', '32051553', '18983981', '17344846']"
P53007,"['19608861', '21269460', '23186163', '26870663', '24275569', '25944712', '29031613', '29238895', '23561848', '23393310', '25614306', '27306203', '29226520']"
P54764,"['9267020', '18094260', '17143272', '19369195', '18708347', '19836338', '19875447', '17344846']"
Q15858,"['7720699', '9169448', '15178348', '20855463', '21659528', '21887265', '23077250', '25240195', '24497506', '28428547', '31647222', '26680203', '30661758', '30765606', '15385606', '16216943', '15958509', '15955112', '16392115', '16988069', '17145499', '16702558', '18945915', '19369487', '19763161', '20635406', '25285947', '24311784', '33216760']"
Q8TCU5,"['14684485', '11588171', '22833210']"
O96013,"['11278822', '11313478', '12356872', '14560027', '15660133', '15827085', '17081983', '18691976', '18669648', '19369195', '19690332', '20507994', '20805321', '20631255', '11950587', '20070256', '20068231', '21269460', '21406692', '23186163', '24130170', '24275569', '24129315', '26607847', '17344846']"
P11711,"['2650624', '3436956', '22673903']"
Q8WXS5,"['21172611', '20805473', '21127204']"
P06493,"['3289755', '7569953', '9242535', '9030781', '12775724', '14654843', '15145941', '16407259', '16371510', '18056467', '17459720', '16933150', '18220336', '18480403', '18691976', '18669648', '18356527', '19509060', '19369195', '19690332', '19608861', '20171170', '20395957', '19917613', '20360007', '19917720', '20937773', '20935635', '20068231', '21269460', '21406398', '21063390', '16236519', '19364923', '19238148', '21535261', '21517772', '21655336', '21516087', '21406692', '22814378', '23602554', '23601106', '23355470', '23186163', '26549230', '25556658', '25944712', '27238018', '28112733', '30723163']"
O14757,"['9278511', '10673501', '10859164', '11535615', '11390642', '11821419', '12446774', '11836499', '12399544', '12676583', '12660173', '14681206', '12588868', '12676925', '12676962', '12759351', '12766152', '14559997', '12955071', '14657349', '14988723', '14681223', '15311285', '15707391', '15710331', '15870257', '15659650', '15798197', '15665856', '15650047', '16511572', '16963448', '17380128', '17296736', '17525332', '18510930', '18728393', '18451105', '18691976', '18317453', '18669648', '19413330', '19223857', '19716789', '19369195', '19734889', '19330022', '19690332', '20090422', '20068231', '21269460', '21406692', '23186163', '31316063', '33108758', '10761933', '12244092', '15974586', '17344846']"
Q08881,"['12573241', '9312162', '9701039', '10795735', '12186560', '12682224', '15144186', '15308100', '15661896', '17060314', '19807924', '19523959', '19690332', '20596523', '21725281', '17344846', '19425169']"
Q96FL8,"['16330770', '16641166', '16996621', '17509534', '17582384', '17495125', '22814378']"
O00519,"['12665801', '17015445', '21049984', '19926788', '24275569', '12060782', '15254019', '16972078', '16959974', '23556448']"
P05183,"['2398038', '7681660']"
P42679,"['7936664', '9171348', '9038210', '16129412', '18691976', '18669648', '19413330', '19369195', '19690332', '23186163', '17344846']"
O75460,"['9637683', '11779464', '11278723', '11175748', '12637535', '19369195', '21269460', '23103912', '29198525', '23378536', '31875558', '16973740', '21317875', '17344846', '21884936', '24508390', '28128204', '28067262']"
Q00536,"['17081983', '18691976', '18669648', '19413330', '19369195', '20068231', '21406692', '22796189', '22798068', '22184064', '23186163']"
Q05655,"['11748588', '11772397', '11781095', '11877440', '12649167', '12628935', '15774464', '16940418', '17570831', '17603046', '17303575', '17579121', '17965192', '18088087', '18691976', '18285462', '18669648', '19413330', '19587372', '19369195', '19690332', '19801500', '12473183', '20002545', '20068231', '21103796', '21269460', '21810427', '21406692', '22918451', '23319571', '23186163', '24275569', '28428613', '15851033']"
Q9H3Y6,"['23822091', '29496907', '17344846']"
P06239,"['1639064', '7504174', '7852312', '8618896', '8631775', '8794306', '9178760', '10848956', '11978774', '12218089', '11840567', '1002/1615-9861(200202)2:2<212::aid-prot212>3.0.co;2-h', '14610046', '14610044', '12837766', '14757743', '16339550', '15592455', '16461343', '16709819', '17634955', '18424730', '18691976', '19369195', '19690332', '20100835', '20028775', '20851766', '22080863', '22034844', '21269457', '21917715', '21406692', '23946459', '27335501', '7512222', '7532720', '8604142', '8945479', '9685372', '22985903']"
